Voting_Preference,State_Code_FIPS,Year_of_Study,Thermometer_Liberals,Thermometer_Conservatives,Thermometer_Gays_and_Lesbians,Thermometer_Feminists
Did not vote,6.0,2016,99.0,99.0,99.0,99.0
Major Third Party,20.0,2016,15.0,15.0,90.0,60.0
Democrat,34.0,2016,90.0,70.0,92.0,85.0
Did not vote,16.0,2016,99.0,99.0,99.0,99.0
Republican,39.0,2016,0.0,97.0,50.0,0.0
Republican,13.0,2016,0.0,97.0,50.0,50.0
Democrat,27.0,2016,85.0,18.0,84.0,75.0
Republican,6.0,2016,0.0,97.0,50.0,30.0
Democrat,26.0,2016,50.0,50.0,50.0,50.0
Did not vote,53.0,2016,50.0,60.0,60.0,60.0
Did not vote,53.0,2016,50.0,54.0,54.0,52.0
Democrat,6.0,2016,97.0,0.0,97.0,97.0
Democrat,12.0,2016,50.0,40.0,50.0,50.0
Republican,45.0,2016,0.0,97.0,0.0,40.0
Democrat,28.0,2016,60.0,50.0,50.0,70.0
Republican,8.0,2016,40.0,80.0,70.0,50.0
Did not vote,17.0,2016,84.0,41.0,86.0,84.0
Did not vote,6.0,2016,15.0,85.0,50.0,70.0
Did not vote,33.0,2016,50.0,50.0,50.0,30.0
Republican,21.0,2016,15.0,86.0,29.0,50.0
Major Third Party,49.0,2016,50.0,70.0,50.0,70.0
Democrat,6.0,2016,80.0,30.0,65.0,74.0
Democrat,27.0,2016,85.0,0.0,97.0,97.0
Democrat,42.0,2016,40.0,40.0,97.0,85.0
Democrat,1.0,2016,50.0,64.0,97.0,51.0
Republican,17.0,2016,10.0,85.0,0.0,50.0
Did not vote,5.0,2016,99.0,99.0,99.0,99.0
Democrat,6.0,2016,85.0,70.0,97.0,70.0
Did not vote,12.0,2016,60.0,50.0,40.0,70.0
Democrat,42.0,2016,97.0,4.0,85.0,97.0
Democrat,41.0,2016,75.0,40.0,97.0,97.0
Did not vote,12.0,2016,60.0,50.0,70.0,97.0
Republican,49.0,2016,14.0,42.0,59.0,31.0
Did not vote,9.0,2016,99.0,99.0,99.0,99.0
Did not vote,46.0,2016,0.0,50.0,0.0,50.0
Did not vote,9.0,2016,99.0,99.0,99.0,99.0
Did not vote,47.0,2016,50.0,50.0,50.0,50.0
Republican,13.0,2016,40.0,85.0,70.0,70.0
Democrat,41.0,2016,70.0,45.0,90.0,80.0
Major Third Party,6.0,2016,50.0,51.0,76.0,38.0
Republican,54.0,2016,45.0,33.0,42.0,24.0
Did not vote,55.0,2016,99.0,99.0,99.0,99.0
Democrat,4.0,2016,85.0,15.0,85.0,85.0
Democrat,32.0,2016,55.0,49.0,49.0,49.0
Republican,13.0,2016,50.0,85.0,0.0,60.0
Democrat,40.0,2016,15.0,70.0,0.0,50.0
Did not vote,34.0,2016,99.0,99.0,99.0,99.0
Did not vote,49.0,2016,51.0,50.0,60.0,62.0
Did not vote,51.0,2016,50.0,60.0,60.0,60.0
Did not vote,48.0,2016,50.0,40.0,60.0,70.0
Did not vote,12.0,2016,99.0,99.0,99.0,99.0
Democrat,36.0,2016,51.0,50.0,0.0,51.0
Republican,37.0,2016,44.0,77.0,75.0,82.0
Republican,26.0,2016,16.0,97.0,60.0,40.0
Democrat,17.0,2016,97.0,15.0,85.0,85.0
Republican,42.0,2016,15.0,99.0,99.0,15.0
Democrat,48.0,2016,99.0,99.0,99.0,99.0
Democrat,45.0,2016,70.0,40.0,90.0,70.0
Republican,26.0,2016,32.0,85.0,15.0,50.0
Major Third Party,48.0,2016,50.0,85.0,85.0,85.0
Democrat,17.0,2016,97.0,5.0,97.0,90.0
Democrat,41.0,2016,59.0,4.0,75.0,61.0
Republican,26.0,2016,60.0,60.0,50.0,60.0
Democrat,34.0,2016,70.0,60.0,0.0,70.0
Democrat,53.0,2016,86.0,30.0,97.0,60.0
Republican,40.0,2016,60.0,75.0,40.0,70.0
Did not vote,36.0,2016,99.0,99.0,99.0,99.0
Did not vote,53.0,2016,99.0,99.0,99.0,99.0
Republican,32.0,2016,30.0,97.0,60.0,70.0
Republican,55.0,2016,31.0,61.0,51.0,51.0
Did not vote,53.0,2016,99.0,99.0,99.0,99.0
Democrat,51.0,2016,94.0,0.0,97.0,97.0
Democrat,17.0,2016,60.0,40.0,50.0,70.0
Republican,51.0,2016,0.0,97.0,0.0,0.0
Did not vote,16.0,2016,99.0,99.0,99.0,99.0
Did not vote,36.0,2016,99.0,99.0,99.0,99.0
Democrat,6.0,2016,86.0,4.0,97.0,94.0
Democrat,41.0,2016,70.0,40.0,85.0,60.0
Did not vote,12.0,2016,65.0,30.0,75.0,30.0
Democrat,34.0,2016,97.0,30.0,97.0,97.0
Democrat,55.0,2016,70.0,40.0,78.0,70.0
Republican,12.0,2016,30.0,70.0,50.0,51.0
Democrat,34.0,2016,70.0,99.0,83.0,99.0
Republican,4.0,2016,99.0,99.0,99.0,99.0
Democrat,34.0,2016,60.0,40.0,50.0,50.0
Major Third Party,55.0,2016,50.0,99.0,51.0,48.0
Republican,25.0,2016,17.0,77.0,50.0,51.0
Did not vote,20.0,2016,99.0,99.0,99.0,99.0
Democrat,15.0,2016,85.0,16.0,85.0,69.0
Democrat,12.0,2016,70.0,0.0,85.0,85.0
Did not vote,37.0,2016,21.0,30.0,2.0,62.0
Did not vote,18.0,2016,0.0,76.0,0.0,15.0
Republican,21.0,2016,17.0,71.0,50.0,41.0
Did not vote,56.0,2016,99.0,99.0,99.0,99.0
Democrat,41.0,2016,92.0,75.0,91.0,95.0
Republican,19.0,2016,55.0,65.0,45.0,40.0
Did not vote,13.0,2016,50.0,85.0,99.0,30.0
Democrat,13.0,2016,83.0,1.0,97.0,70.0
Major Third Party,27.0,2016,70.0,60.0,70.0,60.0
Democrat,24.0,2016,70.0,30.0,50.0,85.0
Democrat,39.0,2016,52.0,62.0,51.0,51.0
Democrat,6.0,2016,70.0,80.0,50.0,60.0
Democrat,12.0,2016,67.0,16.0,72.0,51.0
Did not vote,48.0,2016,99.0,99.0,99.0,99.0
Democrat,1.0,2016,85.0,50.0,70.0,70.0
Republican,36.0,2016,30.0,60.0,50.0,50.0
Republican,22.0,2016,15.0,60.0,50.0,50.0
Democrat,24.0,2016,75.0,0.0,97.0,97.0
Democrat,5.0,2016,85.0,60.0,50.0,70.0
Republican,18.0,2016,15.0,97.0,40.0,60.0
Democrat,48.0,2016,90.0,85.0,97.0,85.0
Did not vote,37.0,2016,99.0,99.0,99.0,99.0
Did not vote,36.0,2016,69.0,67.0,68.0,86.0
Did not vote,19.0,2016,99.0,99.0,99.0,99.0
Did not vote,8.0,2016,36.0,16.0,53.0,78.0
Did not vote,19.0,2016,49.0,64.0,57.0,45.0
Republican,39.0,2016,44.0,97.0,71.0,25.0
Democrat,6.0,2016,97.0,0.0,97.0,97.0
Republican,42.0,2016,50.0,85.0,70.0,50.0
Did not vote,24.0,2016,0.0,97.0,70.0,60.0
Republican,27.0,2016,15.0,30.0,40.0,70.0
Republican,39.0,2016,70.0,80.0,76.0,84.0
Did not vote,34.0,2016,99.0,99.0,99.0,99.0
Republican,34.0,2016,30.0,60.0,97.0,0.0
Major Third Party,6.0,2016,50.0,50.0,97.0,97.0
Democrat,39.0,2016,30.0,50.0,50.0,50.0
Republican,42.0,2016,40.0,97.0,40.0,40.0
Did not vote,53.0,2016,85.0,40.0,85.0,60.0
Republican,17.0,2016,30.0,85.0,0.0,50.0
Republican,44.0,2016,15.0,85.0,30.0,15.0
Democrat,45.0,2016,60.0,40.0,70.0,70.0
Did not vote,8.0,2016,99.0,99.0,99.0,99.0
Republican,36.0,2016,1.0,97.0,51.0,32.0
Major Third Party,25.0,2016,41.0,41.0,50.0,51.0
Democrat,42.0,2016,97.0,42.0,97.0,97.0
Did not vote,12.0,2016,99.0,99.0,99.0,99.0
Democrat,17.0,2016,50.0,89.0,95.0,83.0
Democrat,17.0,2016,62.0,40.0,57.0,50.0
Republican,1.0,2016,15.0,40.0,50.0,45.0
Democrat,39.0,2016,91.0,30.0,97.0,40.0
Did not vote,39.0,2016,50.0,50.0,70.0,50.0
Did not vote,22.0,2016,99.0,99.0,99.0,99.0
Republican,4.0,2016,6.0,85.0,62.0,30.0
Democrat,26.0,2016,50.0,49.0,87.0,77.0
Democrat,25.0,2016,85.0,15.0,70.0,85.0
Republican,27.0,2016,50.0,50.0,50.0,50.0
Democrat,19.0,2016,58.0,84.0,82.0,87.0
Republican,39.0,2016,0.0,85.0,70.0,50.0
Did not vote,32.0,2016,80.0,70.0,97.0,1.0
Democrat,48.0,2016,30.0,40.0,50.0,97.0
Democrat,37.0,2016,60.0,40.0,97.0,70.0
Democrat,48.0,2016,51.0,51.0,1.0,79.0
Democrat,1.0,2016,50.0,30.0,50.0,50.0
Did not vote,37.0,2016,40.0,51.0,50.0,1.0
Did not vote,25.0,2016,65.0,50.0,84.0,66.0
Republican,18.0,2016,31.0,60.0,50.0,51.0
Did not vote,48.0,2016,97.0,97.0,99.0,99.0
Democrat,49.0,2016,97.0,16.0,97.0,97.0
Did not vote,37.0,2016,99.0,99.0,99.0,99.0
Did not vote,6.0,2016,52.0,50.0,50.0,40.0
Democrat,6.0,2016,50.0,70.0,97.0,97.0
Did not vote,1.0,2016,70.0,85.0,60.0,97.0
Did not vote,17.0,2016,0.0,60.0,85.0,1.0
Did not vote,39.0,2016,99.0,99.0,99.0,99.0
Democrat,26.0,2016,75.0,65.0,85.0,75.0
Did not vote,36.0,2016,53.0,51.0,50.0,50.0
Republican,12.0,2016,15.0,31.0,82.0,0.0
Republican,48.0,2016,12.0,15.0,8.0,8.0
Democrat,36.0,2016,69.0,60.0,97.0,97.0
Republican,1.0,2016,0.0,85.0,30.0,40.0
Major Third Party,29.0,2016,64.0,63.0,65.0,58.0
Did not vote,37.0,2016,50.0,50.0,30.0,60.0
Did not vote,51.0,2016,50.0,50.0,50.0,50.0
Did not vote,18.0,2016,99.0,99.0,99.0,99.0
Did not vote,22.0,2016,50.0,50.0,97.0,30.0
Did not vote,6.0,2016,99.0,99.0,99.0,99.0
Democrat,42.0,2016,51.0,77.0,54.0,70.0
Did not vote,53.0,2016,99.0,99.0,99.0,99.0
Democrat,17.0,2016,70.0,40.0,70.0,70.0
Did not vote,27.0,2016,99.0,99.0,99.0,99.0
Democrat,12.0,2016,85.0,0.0,97.0,85.0
Democrat,36.0,2016,70.0,40.0,90.0,85.0
Republican,17.0,2016,1.0,33.0,81.0,15.0
Democrat,51.0,2016,86.0,30.0,72.0,85.0
Did not vote,21.0,2016,99.0,99.0,99.0,99.0
Republican,22.0,2016,50.0,60.0,50.0,50.0
Democrat,36.0,2016,87.0,42.0,80.0,69.0
Democrat,53.0,2016,50.0,50.0,50.0,50.0
Democrat,36.0,2016,15.0,15.0,97.0,97.0
Did not vote,4.0,2016,99.0,99.0,99.0,99.0
Democrat,25.0,2016,85.0,32.0,85.0,86.0
Democrat,48.0,2016,85.0,0.0,97.0,80.0
Democrat,34.0,2016,90.0,31.0,85.0,71.0
Democrat,17.0,2016,81.0,16.0,85.0,60.0
Did not vote,1.0,2016,99.0,99.0,99.0,99.0
Democrat,27.0,2016,50.0,50.0,40.0,60.0
Republican,19.0,2016,35.0,76.0,50.0,50.0
Did not vote,34.0,2016,86.0,50.0,97.0,85.0
Republican,36.0,2016,10.0,97.0,97.0,75.0
Did not vote,17.0,2016,50.0,72.0,52.0,51.0
Did not vote,29.0,2016,48.0,41.0,92.0,26.0
Did not vote,48.0,2016,50.0,50.0,50.0,50.0
Did not vote,36.0,2016,65.0,70.0,15.0,15.0
Did not vote,21.0,2016,99.0,99.0,99.0,99.0
Did not vote,12.0,2016,55.0,48.0,97.0,7.0
Republican,29.0,2016,60.0,60.0,97.0,60.0
Democrat,10.0,2016,81.0,11.0,80.0,97.0
Democrat,17.0,2016,62.0,14.0,97.0,90.0
Did not vote,48.0,2016,61.0,42.0,77.0,60.0
Did not vote,39.0,2016,53.0,13.0,0.0,50.0
Republican,34.0,2016,50.0,50.0,85.0,15.0
Democrat,12.0,2016,60.0,60.0,99.0,99.0
Did not vote,45.0,2016,99.0,99.0,99.0,99.0
Democrat,37.0,2016,60.0,10.0,97.0,75.0
Did not vote,34.0,2016,15.0,85.0,50.0,50.0
Republican,22.0,2016,15.0,70.0,50.0,50.0
Democrat,13.0,2016,88.0,15.0,96.0,91.0
Democrat,17.0,2016,55.0,51.0,51.0,50.0
Did not vote,6.0,2016,99.0,99.0,99.0,99.0
Did not vote,48.0,2016,99.0,99.0,99.0,99.0
Did not vote,24.0,2016,99.0,99.0,99.0,99.0
Republican,48.0,2016,85.0,70.0,97.0,97.0
Did not vote,6.0,2016,84.0,72.0,96.0,59.0
Democrat,48.0,2016,48.0,50.0,72.0,51.0
Democrat,9.0,2016,97.0,0.0,97.0,97.0
Democrat,19.0,2016,61.0,40.0,77.0,40.0
Republican,45.0,2016,50.0,50.0,2.0,50.0
Major Third Party,15.0,2016,50.0,50.0,70.0,50.0
Did not vote,16.0,2016,99.0,99.0,99.0,99.0
Democrat,54.0,2016,73.0,62.0,60.0,60.0
Democrat,12.0,2016,54.0,60.0,71.0,71.0
Republican,6.0,2016,3.0,97.0,99.0,3.0
Major Third Party,40.0,2016,50.0,50.0,60.0,50.0
Republican,24.0,2016,99.0,60.0,70.0,70.0
Did not vote,27.0,2016,60.0,61.0,50.0,41.0
Did not vote,17.0,2016,99.0,99.0,99.0,99.0
Republican,42.0,2016,43.0,48.0,50.0,71.0
Democrat,17.0,2016,97.0,30.0,97.0,85.0
Republican,19.0,2016,15.0,85.0,0.0,15.0
Republican,26.0,2016,40.0,92.0,50.0,16.0
Republican,21.0,2016,15.0,60.0,0.0,70.0
Did not vote,6.0,2016,99.0,99.0,99.0,99.0
Republican,42.0,2016,99.0,97.0,85.0,50.0
Did not vote,48.0,2016,50.0,97.0,85.0,70.0
Democrat,21.0,2016,97.0,1.0,96.0,60.0
Republican,47.0,2016,52.0,52.0,97.0,51.0
Republican,51.0,2016,60.0,60.0,85.0,60.0
Republican,29.0,2016,50.0,50.0,50.0,50.0
Republican,6.0,2016,16.0,82.0,39.0,14.0
Republican,55.0,2016,17.0,8.0,5.0,27.0
Did not vote,20.0,2016,85.0,52.0,15.0,51.0
Republican,42.0,2016,70.0,70.0,65.0,60.0
Democrat,26.0,2016,76.0,40.0,85.0,70.0
Did not vote,37.0,2016,99.0,99.0,99.0,99.0
Did not vote,48.0,2016,0.0,50.0,85.0,50.0
Republican,12.0,2016,70.0,78.0,50.0,66.0
Republican,9.0,2016,54.0,43.0,71.0,59.0
Democrat,12.0,2016,70.0,0.0,70.0,70.0
Democrat,34.0,2016,85.0,30.0,99.0,97.0
Republican,48.0,2016,0.0,97.0,50.0,0.0
Democrat,24.0,2016,40.0,70.0,70.0,60.0
Did not vote,6.0,2016,0.0,97.0,0.0,0.0
Did not vote,37.0,2016,0.0,20.0,97.0,22.0
Democrat,37.0,2016,70.0,40.0,70.0,50.0
Democrat,39.0,2016,56.0,30.0,61.0,51.0
Did not vote,42.0,2016,50.0,50.0,50.0,50.0
Republican,48.0,2016,99.0,65.0,50.0,60.0
Republican,17.0,2016,61.0,40.0,97.0,50.0
Democrat,49.0,2016,70.0,85.0,60.0,70.0
Republican,23.0,2016,50.0,85.0,60.0,70.0
Democrat,53.0,2016,70.0,30.0,97.0,70.0
Did not vote,28.0,2016,99.0,99.0,99.0,99.0
Major Third Party,8.0,2016,50.0,50.0,85.0,30.0
Did not vote,48.0,2016,50.0,50.0,30.0,50.0
Democrat,17.0,2016,85.0,20.0,80.0,80.0
Did not vote,48.0,2016,99.0,99.0,99.0,99.0
Did not vote,28.0,2016,48.0,49.0,48.0,50.0
Republican,47.0,2016,15.0,76.0,50.0,50.0
Did not vote,6.0,2016,99.0,99.0,99.0,99.0
Republican,30.0,2016,50.0,52.0,52.0,41.0
Republican,26.0,2016,42.0,93.0,60.0,16.0
Did not vote,12.0,2016,61.0,31.0,70.0,70.0
Democrat,48.0,2016,97.0,3.0,97.0,97.0
Democrat,12.0,2016,97.0,30.0,97.0,97.0
Democrat,12.0,2016,85.0,30.0,60.0,50.0
Democrat,55.0,2016,75.0,50.0,75.0,70.0
Republican,42.0,2016,7.0,85.0,50.0,50.0
Republican,40.0,2016,50.0,70.0,51.0,52.0
Republican,4.0,2016,84.0,86.0,80.0,51.0
Republican,30.0,2016,61.0,61.0,70.0,41.0
Democrat,55.0,2016,70.0,15.0,70.0,51.0
Democrat,37.0,2016,56.0,69.0,1.0,57.0
Did not vote,12.0,2016,99.0,99.0,99.0,99.0
Democrat,8.0,2016,85.0,50.0,97.0,70.0
Did not vote,6.0,2016,85.0,40.0,97.0,97.0
Did not vote,9.0,2016,99.0,99.0,99.0,99.0
Republican,48.0,2016,3.0,75.0,50.0,31.0
Democrat,6.0,2016,99.0,99.0,99.0,99.0
Republican,28.0,2016,15.0,99.0,0.0,85.0
Did not vote,42.0,2016,99.0,99.0,99.0,99.0
Republican,36.0,2016,50.0,85.0,50.0,50.0
Democrat,6.0,2016,50.0,40.0,50.0,50.0
Did not vote,48.0,2016,99.0,99.0,99.0,99.0
Republican,36.0,2016,60.0,30.0,50.0,50.0
Major Third Party,12.0,2016,85.0,15.0,60.0,70.0
Democrat,36.0,2016,80.0,71.0,83.0,97.0
Republican,35.0,2016,40.0,86.0,90.0,76.0
Did not vote,25.0,2016,60.0,60.0,70.0,60.0
Democrat,6.0,2016,42.0,31.0,60.0,30.0
Did not vote,51.0,2016,99.0,99.0,99.0,99.0
Republican,19.0,2016,50.0,90.0,50.0,50.0
Did not vote,10.0,2016,50.0,60.0,70.0,70.0
Did not vote,1.0,2016,99.0,99.0,99.0,99.0
Did not vote,56.0,2016,99.0,99.0,99.0,99.0
Did not vote,20.0,2016,99.0,99.0,99.0,99.0
Did not vote,22.0,2016,50.0,50.0,50.0,50.0
Did not vote,24.0,2016,40.0,60.0,50.0,40.0
Democrat,37.0,2016,30.0,70.0,85.0,85.0
Democrat,27.0,2016,85.0,50.0,97.0,97.0
Did not vote,12.0,2016,99.0,99.0,99.0,99.0
Republican,47.0,2016,70.0,85.0,70.0,99.0
Republican,18.0,2016,50.0,50.0,50.0,50.0
Republican,37.0,2016,40.0,70.0,60.0,40.0
Did not vote,6.0,2016,42.0,97.0,56.0,41.0
Republican,6.0,2016,41.0,96.0,51.0,41.0
Did not vote,12.0,2016,99.0,99.0,99.0,99.0
Republican,48.0,2016,0.0,85.0,50.0,30.0
Democrat,34.0,2016,70.0,40.0,97.0,70.0
Republican,18.0,2016,8.0,97.0,50.0,41.0
Did not vote,13.0,2016,99.0,99.0,99.0,99.0
Democrat,12.0,2016,51.0,40.0,72.0,50.0
Republican,19.0,2016,40.0,85.0,50.0,50.0
Democrat,42.0,2016,60.0,30.0,50.0,70.0
Major Third Party,42.0,2016,60.0,69.0,97.0,62.0
Democrat,26.0,2016,56.0,55.0,94.0,62.0
Did not vote,38.0,2016,0.0,97.0,15.0,0.0
Republican,17.0,2016,2.0,85.0,16.0,0.0
Did not vote,49.0,2016,60.0,40.0,97.0,15.0
Did not vote,4.0,2016,51.0,70.0,51.0,31.0
Democrat,26.0,2016,50.0,50.0,30.0,85.0
Democrat,50.0,2016,60.0,70.0,85.0,70.0
Democrat,6.0,2016,49.0,60.0,50.0,15.0
Major Third Party,51.0,2016,85.0,60.0,97.0,97.0
Did not vote,20.0,2016,99.0,99.0,99.0,99.0
Republican,12.0,2016,51.0,91.0,53.0,52.0
Democrat,36.0,2016,83.0,26.0,96.0,93.0
Democrat,6.0,2016,88.0,0.0,97.0,78.0
Democrat,55.0,2016,70.0,20.0,30.0,70.0
Did not vote,18.0,2016,99.0,99.0,99.0,99.0
Did not vote,6.0,2016,99.0,99.0,99.0,99.0
Republican,48.0,2016,1.0,97.0,50.0,16.0
Did not vote,22.0,2016,99.0,99.0,99.0,99.0
Democrat,26.0,2016,97.0,18.0,97.0,97.0
Republican,48.0,2016,15.0,85.0,85.0,70.0
Republican,1.0,2016,10.0,70.0,0.0,0.0
Major Third Party,6.0,2016,20.0,40.0,60.0,30.0
Democrat,28.0,2016,50.0,97.0,0.0,97.0
Did not vote,29.0,2016,99.0,99.0,99.0,99.0
Democrat,37.0,2016,50.0,41.0,33.0,61.0
Did not vote,13.0,2016,51.0,50.0,1.0,51.0
Republican,51.0,2016,51.0,30.0,0.0,16.0
Democrat,51.0,2016,86.0,60.0,85.0,86.0
Democrat,53.0,2016,30.0,25.0,50.0,50.0
Republican,42.0,2016,40.0,50.0,51.0,50.0
Did not vote,48.0,2016,99.0,99.0,99.0,99.0
Democrat,13.0,2016,97.0,73.0,97.0,97.0
Did not vote,6.0,2016,99.0,99.0,99.0,99.0
Republican,1.0,2016,16.0,90.0,16.0,30.0
Republican,36.0,2016,40.0,86.0,3.0,16.0
Did not vote,24.0,2016,99.0,99.0,99.0,99.0
Did not vote,6.0,2016,99.0,99.0,99.0,99.0
Did not vote,40.0,2016,99.0,99.0,99.0,99.0
Republican,12.0,2016,53.0,76.0,87.0,51.0
Did not vote,4.0,2016,50.0,50.0,50.0,50.0
Democrat,6.0,2016,54.0,12.0,77.0,29.0
Democrat,6.0,2016,70.0,20.0,97.0,97.0
Republican,42.0,2016,30.0,67.0,88.0,23.0
Did not vote,36.0,2016,99.0,0.0,99.0,99.0
Democrat,30.0,2016,71.0,58.0,90.0,80.0
Republican,8.0,2016,0.0,85.0,50.0,40.0
Democrat,39.0,2016,40.0,60.0,70.0,60.0
Did not vote,8.0,2016,85.0,50.0,85.0,40.0
Republican,17.0,2016,16.0,60.0,51.0,51.0
Republican,24.0,2016,15.0,70.0,50.0,40.0
Did not vote,36.0,2016,50.0,60.0,50.0,0.0
Democrat,35.0,2016,97.0,0.0,97.0,97.0
Democrat,53.0,2016,82.0,80.0,85.0,85.0
Did not vote,19.0,2016,99.0,99.0,99.0,99.0
Democrat,48.0,2016,61.0,61.0,68.0,87.0
Did not vote,40.0,2016,99.0,99.0,99.0,99.0
Did not vote,8.0,2016,99.0,99.0,99.0,99.0
Republican,12.0,2016,11.0,71.0,70.0,2.0
Republican,41.0,2016,50.0,50.0,50.0,0.0
Major Third Party,53.0,2016,60.0,60.0,66.0,70.0
Republican,25.0,2016,0.0,97.0,85.0,0.0
Did not vote,55.0,2016,60.0,60.0,0.0,50.0
Democrat,37.0,2016,86.0,2.0,67.0,87.0
Did not vote,48.0,2016,70.0,85.0,60.0,85.0
Republican,42.0,2016,0.0,90.0,50.0,10.0
Did not vote,36.0,2016,99.0,60.0,50.0,50.0
Republican,6.0,2016,27.0,77.0,92.0,41.0
Did not vote,17.0,2016,30.0,50.0,50.0,50.0
Did not vote,51.0,2016,17.0,61.0,0.0,51.0
Republican,45.0,2016,50.0,50.0,50.0,50.0
Did not vote,1.0,2016,99.0,99.0,99.0,99.0
Democrat,36.0,2016,50.0,50.0,50.0,50.0
Did not vote,48.0,2016,30.0,75.0,50.0,25.0
Democrat,6.0,2016,85.0,0.0,97.0,97.0
Did not vote,53.0,2016,85.0,94.0,50.0,56.0
Did not vote,42.0,2016,99.0,99.0,99.0,99.0
Republican,44.0,2016,17.0,51.0,93.0,51.0
Republican,34.0,2016,60.0,60.0,40.0,50.0
Republican,17.0,2016,15.0,85.0,15.0,50.0
Republican,25.0,2016,50.0,50.0,70.0,50.0
Did not vote,37.0,2016,99.0,99.0,99.0,99.0
Did not vote,41.0,2016,50.0,40.0,90.0,40.0
Democrat,13.0,2016,40.0,50.0,50.0,85.0
Did not vote,55.0,2016,99.0,99.0,99.0,99.0
Did not vote,2.0,2016,99.0,99.0,99.0,99.0
Democrat,27.0,2016,52.0,42.0,97.0,43.0
Democrat,17.0,2016,97.0,40.0,97.0,97.0
Did not vote,21.0,2016,50.0,50.0,53.0,50.0
Republican,12.0,2016,30.0,85.0,40.0,50.0
Did not vote,47.0,2016,99.0,99.0,99.0,99.0
Did not vote,49.0,2016,50.0,52.0,50.0,51.0
Republican,42.0,2016,15.0,85.0,50.0,40.0
Republican,1.0,2016,0.0,97.0,50.0,0.0
Did not vote,17.0,2016,50.0,50.0,85.0,40.0
Did not vote,48.0,2016,50.0,50.0,50.0,85.0
Did not vote,31.0,2016,99.0,50.0,85.0,50.0
Democrat,8.0,2016,80.0,16.0,97.0,97.0
Did not vote,6.0,2016,99.0,99.0,99.0,99.0
Democrat,6.0,2016,99.0,60.0,99.0,40.0
Did not vote,6.0,2016,50.0,0.0,97.0,50.0
Did not vote,48.0,2016,50.0,40.0,40.0,60.0
Did not vote,6.0,2016,99.0,99.0,99.0,99.0
Democrat,55.0,2016,97.0,32.0,83.0,97.0
Republican,42.0,2016,0.0,97.0,70.0,50.0
Did not vote,16.0,2016,99.0,99.0,99.0,99.0
Did not vote,9.0,2016,74.0,70.0,84.0,72.0
Republican,26.0,2016,50.0,50.0,0.0,50.0
Republican,39.0,2016,40.0,97.0,50.0,40.0
Did not vote,6.0,2016,99.0,99.0,99.0,99.0
Did not vote,47.0,2016,99.0,99.0,99.0,99.0
Republican,48.0,2016,60.0,75.0,70.0,50.0
Republican,48.0,2016,60.0,50.0,60.0,50.0
Democrat,40.0,2016,97.0,15.0,85.0,97.0
Did not vote,12.0,2016,99.0,99.0,99.0,99.0
Democrat,32.0,2016,50.0,41.0,85.0,85.0
Republican,1.0,2016,30.0,97.0,40.0,50.0
Democrat,33.0,2016,70.0,54.0,70.0,73.0
Republican,18.0,2016,60.0,70.0,70.0,70.0
Democrat,39.0,2016,70.0,40.0,97.0,97.0
Democrat,55.0,2016,97.0,30.0,97.0,87.0
Did not vote,49.0,2016,40.0,70.0,50.0,40.0
Did not vote,12.0,2016,99.0,99.0,99.0,99.0
Did not vote,15.0,2016,51.0,71.0,70.0,51.0
Democrat,55.0,2016,50.0,51.0,70.0,71.0
Did not vote,22.0,2016,60.0,50.0,50.0,50.0
Democrat,21.0,2016,50.0,50.0,97.0,50.0
Did not vote,17.0,2016,50.0,50.0,97.0,60.0
Democrat,18.0,2016,88.0,32.0,50.0,70.0
Republican,6.0,2016,15.0,70.0,95.0,50.0
Democrat,26.0,2016,70.0,70.0,97.0,60.0
Republican,53.0,2016,70.0,60.0,75.0,65.0
Republican,6.0,2016,0.0,97.0,51.0,42.0
Democrat,12.0,2016,75.0,80.0,90.0,75.0
Republican,51.0,2016,60.0,60.0,71.0,60.0
Republican,41.0,2016,52.0,60.0,62.0,47.0
Democrat,20.0,2016,97.0,97.0,97.0,97.0
Democrat,18.0,2016,50.0,50.0,0.0,0.0
Republican,48.0,2016,30.0,70.0,85.0,70.0
Did not vote,17.0,2016,99.0,99.0,99.0,99.0
Democrat,6.0,2016,49.0,30.0,54.0,16.0
Democrat,21.0,2016,97.0,0.0,85.0,85.0
Major Third Party,36.0,2016,70.0,58.0,51.0,83.0
Democrat,27.0,2016,60.0,70.0,50.0,50.0
Major Third Party,8.0,2016,30.0,85.0,61.0,40.0
Democrat,17.0,2016,99.0,99.0,99.0,99.0
Republican,42.0,2016,60.0,40.0,70.0,0.0
Democrat,37.0,2016,60.0,41.0,51.0,51.0
Democrat,6.0,2016,63.0,57.0,57.0,66.0
Republican,18.0,2016,51.0,51.0,61.0,50.0
Democrat,17.0,2016,70.0,41.0,50.0,70.0
Democrat,18.0,2016,71.0,10.0,97.0,97.0
Did not vote,37.0,2016,51.0,51.0,97.0,97.0
Democrat,39.0,2016,50.0,60.0,51.0,50.0
Did not vote,26.0,2016,99.0,99.0,99.0,99.0
Democrat,34.0,2016,74.0,70.0,97.0,97.0
Major Third Party,41.0,2016,2.0,4.0,16.0,2.0
Democrat,35.0,2016,50.0,0.0,50.0,30.0
Republican,12.0,2016,0.0,97.0,50.0,15.0
Did not vote,48.0,2016,60.0,99.0,60.0,50.0
Democrat,17.0,2016,70.0,0.0,85.0,97.0
